"","state_abb","year","population"
"737","MI","2014",9915767
"738","MN","2014",5453109
"739","MS","2014",2992400
"740","MO","2014",6060930
"741","MT","2014",1022867
"742","NE","2014",1881145
"743","NV","2014",2833013
"744","NH","2014",1328743
"745","NJ","2014",8925001
"746","NM","2014",2083024
"747","NY","2014",19718515
"748","NC","2014",9934399
"749","ND","2014",739904
"750","OH","2014",11594408
"751","OK","2014",3877499
"752","OR","2014",3968371
"753","PA","2014",12790565
"754","RI","2014",1054480
"755","SC","2014",4828430
"756","SD","2014",852561
"757","TN","2014",6544663
"758","TX","2014",26944751
"759","UT","2014",2941836
"760","VT","2014",626984
"761","VA","2014",8317372
"762","WA","2014",7054196
"763","WV","2014",1848514
"764","WI","2014",5758377
"765","WY","2014",583642
"766","AL","2015",4853875
"767","AK","2015",737709
"768","AZ","2015",6817565
"769","AR","2015",2977853
"770","CA","2015",38993940
"771","CO","2015",5448819
"772","CT","2015",3584730
"773","DE","2015",944076
"774","DC","2015",670377
"775","FL","2015",20244914
"776","GA","2015",10199398
"777","HI","2015",1425157
"778","ID","2015",1652828
"779","IL","2015",12839047
"780","IN","2015",6612768
"781","IA","2015",3121997
"782","KS","2015",2906721
"783","KY","2015",4424611
"784","LA","2015",4668960
"785","ME","2015",1329453
"786","MD","2015",5994983
"787","MA","2015",6784240
"788","MI","2015",9917715
"789","MN","2015",5482435
"790","MS","2015",2989390
"791","MO","2015",6076204
"792","MT","2015",1032073
"793","NE","2015",1893765
"794","NV","2015",2883758
"795","NH","2015",1330111
"796","NJ","2015",8935421
"797","NM","2015",2080328
"798","NY","2015",19747183
"799","NC","2015",10035186
"800","ND","2015",756835
"801","OH","2015",11605090
"802","OK","2015",3907414
"803","OR","2015",4024634
"804","PA","2015",12791904
"805","RI","2015",1055607
"806","SC","2015",4894834
"807","SD","2015",857919
"808","TN","2015",6595056
"809","TX","2015",27429639
"810","UT","2015",2990632
"811","VT","2015",626088
"812","VA","2015",8367587
"813","WA","2015",7160290
"814","WV","2015",1841053
"815","WI","2015",5767891
"816","WY","2015",586555
"817","AL","2016",4863300
"818","AK","2016",741894
"819","AZ","2016",6931071
"820","AR","2016",2988248
"821","CA","2016",39250017
"822","CO","2016",5540545
"823","CT","2016",3576452
"824","DE","2016",952065
"825","DC","2016",681170
"826","FL","2016",20612439
